timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674828637813,69,/object_info_4,200,OK,HW_1 1-17,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,69,0,31
1674828637868,71,/user_info_3,200,OK,HW_1 1-19,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,71,0,35
1674828637873,71,/object_info_2,200,OK,HW_1 1-18,text,true,,468,164,3,3,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,71,0,34
1674828637927,69,/get_method,200,OK,HW_1 1-20,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,68,0,33
1674828637939,75,/object_info_1,200,OK,HW_1 1-19,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,75,0,31
1674828637945,73,/object_info_3,200,OK,HW_1 1-18,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,73,0,35
1674828637996,67,/user_info_2,200,OK,HW_1 1-20,text,true,,483,250,3,3,http://162.55.220.72:5005/user_info_2,67,0,32
1674828638014,75,/object_info_2,200,OK,HW_1 1-19,text,true,,468,164,3,3,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,75,0,35
1674828638018,74,/object_info_4,200,OK,HW_1 1-18,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,74,0,33
1674828638064,69,/user_info_3,200,OK,HW_1 1-20,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,69,0,32
1674828638134,70,/object_info_1,200,OK,HW_1 1-20,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,69,0,33
1674828638128,71,/get_method,200,OK,HW_1 1-21,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,71,0,34
1674828638089,73,/object_info_3,200,OK,HW_1 1-19,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,72,0,34
1674828638257,76,/object_info_2,200,OK,HW_1 1-20,text,true,,468,164,4,4,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,76,0,33
1674828638257,77,/object_info_4,200,OK,HW_1 1-19,text,true,,239,165,4,4,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,77,0,36
1674828638257,78,/user_info_2,200,OK,HW_1 1-21,text,true,,483,250,3,3,http://162.55.220.72:5005/user_info_2,78,0,34
1674828638335,68,/get_method,200,OK,HW_1 1-22,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,68,0,32
1674828638334,84,/object_info_3,200,OK,HW_1 1-20,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,84,0,47
1674828638336,84,/user_info_3,200,OK,HW_1 1-21,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,84,0,45
1674828638403,67,/user_info_2,200,OK,HW_1 1-22,text,true,,483,250,3,3,http://162.55.220.72:5005/user_info_2,66,0,31
1674828638418,68,/object_info_4,200,OK,HW_1 1-20,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,68,0,33
1674828638420,70,/object_info_1,200,OK,HW_1 1-21,text,true,,231,163,2,2,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,69,0,35
1674828638470,86,/user_info_3,200,OK,HW_1 1-22,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,85,0,34
1674828638490,76,/object_info_2,200,OK,HW_1 1-21,text,true,,468,164,3,3,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,76,0,34
1674828638527,94,/get_method,200,OK,HW_1 1-23,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,94,0,39
1674828638556,96,/object_info_1,200,OK,HW_1 1-22,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,96,0,41
1674828638653,68,/object_info_2,200,OK,HW_1 1-22,text,true,,468,164,3,3,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,68,0,32
1674828638621,77,/user_info_2,200,OK,HW_1 1-23,text,true,,483,250,3,3,http://162.55.220.72:5005/user_info_2,77,0,41
1674828638567,96,/object_info_3,200,OK,HW_1 1-21,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,96,0,53
1674828638727,71,/object_info_3,200,OK,HW_1 1-22,text,true,,525,164,4,4,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,71,0,33
1674828638727,72,/object_info_4,200,OK,HW_1 1-21,text,true,,239,165,4,4,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,72,0,33
1674828638727,75,/user_info_3,200,OK,HW_1 1-23,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,75,0,34
1674828638738,71,/get_method,200,OK,HW_1 1-24,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,71,0,33
1674828638803,73,/object_info_1,200,OK,HW_1 1-23,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,73,0,34
1674828638798,81,/object_info_4,200,OK,HW_1 1-22,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,81,0,36
1674828638809,70,/user_info_2,200,OK,HW_1 1-24,text,true,,483,250,3,3,http://162.55.220.72:5005/user_info_2,70,0,34
1674828638876,64,/object_info_2,200,OK,HW_1 1-23,text,true,,468,164,3,3,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,64,0,32
1674828638880,68,/user_info_3,200,OK,HW_1 1-24,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,67,0,33
1674828638928,70,/get_method,200,OK,HW_1 1-25,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,69,0,35
1674828638941,66,/object_info_3,200,OK,HW_1 1-23,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,65,0,32
1674828638948,68,/object_info_1,200,OK,HW_1 1-24,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,68,0,33
1674828638998,68,/user_info_2,200,OK,HW_1 1-25,text,true,,483,250,3,3,http://162.55.220.72:5005/user_info_2,68,0,32
1674828639007,65,/object_info_4,200,OK,HW_1 1-23,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,65,0,32
1674828639016,73,/object_info_2,200,OK,HW_1 1-24,text,true,,468,164,2,2,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,72,0,36
1674828639067,65,/user_info_3,200,OK,HW_1 1-25,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,65,0,31
1674828639089,69,/object_info_3,200,OK,HW_1 1-24,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,68,0,34
1674828639158,78,/object_info_4,200,OK,HW_1 1-24,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,77,0,41
1674828639128,74,/get_method,200,OK,HW_1 1-26,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,74,0,33
1674828639132,69,/object_info_1,200,OK,HW_1 1-25,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,69,0,33
1674828639282,68,/object_info_2,200,OK,HW_1 1-25,text,true,,468,164,3,3,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,68,0,31
1674828639282,69,/user_info_2,200,OK,HW_1 1-26,text,true,,483,250,3,3,http://162.55.220.72:5005/user_info_2,69,0,33
1674828639325,69,/get_method,200,OK,HW_1 1-27,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,69,0,31
1674828639351,78,/user_info_3,200,OK,HW_1 1-26,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,78,0,43
